emotion,typing_speed_wpm,keypress_rate_hz,mean_hold_time_ms,std_hold_time_ms,mean_flight_time_ms,std_flight_time_ms,pause_ratio,burst_count,backspace_rate,special_key_rate,typing_rhythm_cv,long_pause_count,scroll_speed_px_s,scroll_acceleration,scroll_direction_changes,scroll_event_rate_hz,scroll_idle_ratio,scroll_burst_count,max_scroll_velocity,scroll_smoothness
Happy,81.41685364801275,6.784737804001063,50.0,14.259849800461339,75.46553058370871,26.20507268212763,0.09635473659475516,0.7808252367962257,0.016465520228694547,0.022657912202800775,0.34724558986649073,0.2127004706323241,706.7979139148698,206.73751884276555,0.0,0.9704449770143242,0.0,6.949413329160661,814.2491882583444,0.007116566718922922
Disgust,58.70227926754879,4.891856605629065,267.61350014651845,49.7470534345138,189.87265132001738,23.935826301209943,0.6080337528176084,2.640445882932182,0.026561884722898586,0.025214763576851047,0.1260625273561264,2.8129129137828466,297.8844252401157,140.9561291973405,0.0,0.3737579229603215,0.5825402509851684,5.0669948657271595,337.12957451527046,1.0
Sad,18.735473051177088,1.5612894209314239,357.53980493541445,81.25397614031759,209.82967444262732,96.55782628414374,0.6253168727214461,6.287346253138637,0.012649469999800881,0.0073221426574802545,0.46017240669429277,3.5216006946426153,0.0,40.719224040794515,0.0,0.0,0.2325835746073769,6.116314249943402,0.0,0.012879704236483746
Disgust,42.51071869787549,3.542559891489624,261.7354328028035,77.8539849772813,177.09595501229177,66.55255413331847,0.5474731597565019,1.5842445723480885,0.06376176348770261,0.05019253159876306,0.3757994028079254,1.2927033186036572,443.1435422651949,228.31040504528485,1.377351463722932,1.0128921954361838,0.0,5.4325793436552265,615.6896529927427,0.006270652851672397
Disgust,63.289590654683,5.274132554556917,269.5233942437152,27.514104287893367,283.7586403385617,56.51128557514235,0.5485498623029148,4.778842497390941,0.057693780127538626,0.040706633046670576,0.1991526513790625,5.297066885506622,86.32780786031243,0.0,0.0,0.12631867514952455,0.4863422245289808,4.592516448027448,167.83899157461755,0.006020330224074558
Disgust,76.7956704948028,6.399639207900234,363.4026416450287,113.06901873147558,264.22650841973916,37.38569952960237,0.6510485909201803,4.849658163494689,0.03227702904988059,0.04020257607503284,0.1414911007725728,5.123328504722917,0.0,403.6473413890217,0.10043412618101658,0.0,0.4618524445510679,2.299812835294434,0.0,1.0
Disgust,16.919144319421573,1.4099286932851312,306.72844646075964,39.50392625966893,290.6437919870984,62.143734630083216,0.6032303577009015,4.933339210341571,0.04000796109731478,0.013769889162117126,0.21381407875672695,3.8254309380394864,376.7117499981427,0.0,3.5106154813240367,0.47653568955096093,0.3535052031039565,2.9055762147695163,711.3429272635256,0.003491498751956587
Sad,69.26241695526002,5.771868079605002,264.67528082925696,50.441239421563566,251.79347302198883,88.91122226919137,0.4401246417214937,4.011056556475338,0.03675199386542193,0.056234348618491595,0.353111703818577,3.30487052608807,0.0,0.0,0.0,0.0,0.7226263121882879,1.4765020343522683,0.0,0.011585818741465236
Sad,17.88219586040976,1.4901829883674798,244.92302804391738,67.46497156891557,243.47715466439553,54.31414553775843,0.7259760221817336,5.0705115732060735,0.043411546367307006,0.029992112107268702,0.2230769684023294,1.9264505453263787,360.86831570431275,0.0,1.2844721058880881,1.2665650425576658,0.43587180271104164,2.928434709594631,737.6332918214457,1.0
Angry,115.68127310510332,9.640106092091942,201.22563983825225,30.498889145512837,71.64524820016224,26.819540210089983,0.19342786347942975,2.0603176988610583,0.10729007694460115,0.0777897707688063,0.37433801799613625,0.0913763199307821,1268.8988620158054,385.7626567706514,0.0,2.221661890282189,0.0,6.756589921741196,1910.5249953881003,0.0018321255132702126
Sad,14.215748056911252,1.184645671409271,230.92316106518567,35.0639948607233,217.084479738856,85.48865175227482,0.5673253020586044,4.803984126900174,0.03662606261400833,0.026881863173332708,0.3938036097979656,2.1270476408401713,0.0,0.0,2.547111000505138,0.0,0.3951150143327397,5.091156744531104,0.0,0.015011286390949377
Disgust,42.895489459277066,3.574624121606422,202.05835273476578,55.92950672904749,171.84316731515634,41.73040734346736,0.6068931491657176,4.96165394747214,0.03834464358255063,0.04652496168943969,0.24284007327992724,0.9029724754996056,0.0,177.11992964449632,0.0,0.0,0.43985257863497434,3.2591161724697266,0.0,1.0
Surprise,96.14401928588242,8.012001607156868,91.52551476028043,26.757120786877678,152.4698388757618,59.2129048724025,0.5056366568863893,0.6976559260891304,0.05074348328456526,0.02490465278861595,0.38835815207131824,1.9611329085424387,708.7358387694603,202.97751573609662,4.5901008812759505,1.0050056916578998,0.21508693914539628,6.9875527893462905,1063.360488763468,0.004108885425547021
Surprise,89.95063654311707,7.495886378593089,192.25677182335374,45.33131587098688,30.0,12.623950728655839,0.48748330584111305,3.8421656252006953,0.03832873985739137,0.05923691501501509,0.4207983576218613,5.845467618702678,736.6342295298832,349.53845716718985,0.0,1.3949148394107207,0.07972978160909228,4.93224702547538,1002.463928062825,1.0
Surprise,97.2679771721333,8.105664764344443,154.1579803077377,46.18015455429288,147.65581145794485,52.650300070612175,0.2971506443508284,3.7427633166629546,0.05053252970451254,0.015809302499909025,0.35657451982923116,1.645840274526725,1092.99502297453,543.0514491182397,2.1604282429467583,1.924687585603419,0.04952987689441189,7.266979531680599,1603.1503136861056,0.002274486369772086
Disgust,37.166123265703305,3.097176938808609,241.2945484742385,138.08508856845324,291.8855088670246,103.48126528636618,0.8465581974143754,5.212859747045326,0.03880810610690359,0.04602566697553871,0.3545269023050731,6.529442875206554,149.13812165037163,0.0,1.3235830691573545,0.37896654710328775,0.4522156429092296,3.2593634013515507,226.67206766802477,1.0
Sad,23.927956839343956,1.9939964032786628,406.6556298808573,53.19593424352965,312.32366856795136,76.13496264366817,0.6379761344899016,5.383010709213533,0.05637436645046154,0.01558468695552578,0.24376942994028553,5.385476051450775,0.0,0.0,1.7283470279965492,0.0,0.4763880438149512,3.632255712521244,0.0,1.0
Neutral,50.37936867630252,4.19828072302521,221.98548503855108,15.727579087261297,92.29534856381622,46.43104787530564,0.34494316340873116,4.294827797757734,0.06808691540310977,0.021448850995199102,0.5030702911664242,0.30943992190904046,694.8691649937923,131.62290835104574,0.0,0.5774572614974021,0.2872377942407802,4.6513580998249715,1148.9141754572152,1.0
